Article #,Type of article,Article Title,DOI,Author,Year,Animal,Animal type,Farming country,Mineral premix included? (Y/N),Type of premix (trace element or not),Proxy? (Y/N),Proxy name,Details,Likelihood of premix dependence,
17,Accepted,Life Cycle Assessment of Chinese Shrimp Farming Systems Targeted for Export and Domestic Sales,https://doi.org/10.1021/es104058z,Cao et al,2011,Shrimp,Fish/Crustaceans,China,N,,,,"Not listed in inventory. ""Since no background information was available about binder, soybean lecithin, vitamin and mineral premix, and vitamin C, and their contribution to the total ration less than 5%, they were excluded in the analysis""",,
18,Accepted,Environmental life cycle assessment of cow milk in a conventional semi‑intensive Brazilian production system,https://doi.org/10.1007/s11356-021-17317-5,Carvalho et al,2021,Cattle,Cattle,Brazil,Y,Trace minerals,N,,"Included the minerals in both the concentrate and the licks/premix. Some  proxies were used, but were very close to the original (e.g. phosphate rock was used as a proxy for dicalcium phosphate, cobalt was used for cobalt sulphate, iodine was used for potassium iodate and selenium was used for sodium selenite)",,
19,Accepted,Quantification of GHG emissions from sucker-beef production in Ireland,10.1016/j.agsy.2005.11.008,Casey and Holden,2006,Cattle,Cattle,Ireland,N,,,,"Included 'supplements', but these did not include any added minerals (just plants)",,
20,Accepted,Comparative life cycle assessment of aquaponics and hydroponics in the Midwestern United States,https://doi.org/10.1016/j.jclepro.2020.122888,Chen et al,2020,Tilapia,Fish/Crustaceans,USA,N,,,,"Used LCA inventory from Avadi et al (2015), which explicitly excluded mineral premix from the LCA. ",,
21,Accepted,Uncertainty in LCA case study due to allocation approaches and life cycle impact assessment methods,https://doi.org/10.1007/s11367-017-1432-6,Cherubini et al,2018,Pig,Pig,Brazil,N,,,,Not included in the inventory,,
22,Accepted,A life cycle assessment study of dairy farms in northern Germany: The influence of performance parameters on environmental efficiency,https://doi.org/10.1016/j.jenvman.2020.111127,Drews et al,2020,Cattle,Cattle,Germany,N,,,,Not included in the inventory,,
23,Accepted,Environmental impact of Brazilian broiler production process: Evaluation using life cycle assessment,https://doi.org/10.1016/j.jclepro.2019.117752,Duarte de Silva Lima et al,2019,Chicken,Chicken,Brazil,Y,Trace minerals,N,,Explicitly included in the inventory. Used EcoInvent 2.2 and 3.3. for feed ingredients- no idea if they use a proxy. I have assumed 'Premix minerals' to be trace minerals,,
24,Accepted,"Life Cycle Assessment of Nile Tilapia (Oreochromis niloticus) Farming in Kenyir Lake, Terengganu",10.3390/su12062268,Dullah et al,2020,Tilapia,Fish/Crustaceans,Malaysia,N,,,,Not included in the inventory,,
25,Accepted,LIFE CYCLE ASSESSMENT OF POINT-OF-LAY BIRDS TO FROZEN CHICKEN PRODUCTION IN A TROPICAL ENVIRONMENT,10.29081/jesr.v23i1.89,Ewemoje et al,2017,Chicken,Chicken,Nigeria,N,,,,No information about feed composition was given. It is assumed that mineral premix was not included,,
26,Accepted,"Comparative energy, economic and environmental analyses of forage production systems for dairy farming",10.1016/j.jclepro.2018.02.073,Fathollahi et al,2018,Cattle,Cattle,Iran,N,,,,"Didn't inlcude the mineral premix, BUT not sure they would have used a premix anyway.... not sure what to do with this ",,
27,Accepted,"THE CONTRIBUTION OF A PORTION OF MEAT, FISH AND EGGS FOR CLIMATE CHANGE",10.29352/mill0203e.02.00191,Ferreira et al,2019,Chicken,Chicken,Denmark and Netherlands,N,Probably non-trace,,,"Datasets for the products and processes included in the system boundaries were taken from LCA Food DK Project (Nielsen et al. 2003), except for eggs, where an adaptation of Agri-footprint version 4.0 (economic allocation) project (Blonk Agri-footprint BV 2017a) was used, because they don ́t exist in the LCA Food DK Project, as shown in Table 1. LCA Food DK project does not include premix in feeds for chickens, but for pigs and cattle have 'P, mineral feed', which I presume is a use of P as a proxy for all mineral feed. ",,
27,Accepted,"THE CONTRIBUTION OF A PORTION OF MEAT, FISH AND EGGS FOR CLIMATE CHANGE",10.29352/mill0203e.02.00191,Ferreira et al,2019,Cattle,Cattle,Denmark and Netherlands,Y,Probably trace,Y,Phosphorus,"Datasets for the products and processes included in the system boundaries were taken from LCA Food DK Project (Nielsen et al. 2003), except for eggs, where an adaptation of Agri-footprint version 4.0 (economic allocation) project (Blonk Agri-footprint BV 2017a) was used, because they don ́t exist in the LCA Food DK Project, as shown in Table 1. LCA Food DK project does not include premix in feeds for chickens, but for pigs and cattle have 'P, mineral feed', which I presume is a use of P as a proxy for all mineral feed. ",,
27,Accepted,"THE CONTRIBUTION OF A PORTION OF MEAT, FISH AND EGGS FOR CLIMATE CHANGE",10.29352/mill0203e.02.00191,Ferreira et al,2019,Pig,Pig,Denmark and Netherlands,Y,Probably non-trace,Y,Phosphorus,"Datasets for the products and processes included in the system boundaries were taken from LCA Food DK Project (Nielsen et al. 2003), except for eggs, where an adaptation of Agri-footprint version 4.0 (economic allocation) project (Blonk Agri-footprint BV 2017a) was used, because they don ́t exist in the LCA Food DK Project, as shown in Table 1. LCA Food DK project does not include premix in feeds for chickens, but for pigs and cattle have 'P, mineral feed', which I presume is a use of P as a proxy for all mineral feed. ",,
28,Accepted,Evaluation of environmental and economic implications of a cold-weather aquaponic food production system using life cycle assessment and economic analysis,http://doi.org/10.1111/jiec.13230,Ghamkhar et al,2022,Tilapia,Fish/Crustaceans,USA,N,,,,The inventory list (Table S2) doesn't inlcude any premix,,
29,Accepted,Assessment of environment impacts of egg production chain using life cycle assessment,http://dx.doi.org/10.1016/j.jenvman.2016.09.054,Ghasempour et al,2016,Chicken,Chicken,Iran,N,,,,Not included in the inventory,,
30,Accepted,Comparison of different methods for consideration of multifunctionality of Peruvian dairy cattle in Life Cycle Assessment,https://doi.org/10.1016/j.livsci.2020.104151,Gilardino et al,2020,Cattle,Cattle,Peru,N,,,,Not included in the inventory,,
31,Accepted,Environmental Impacts Associated with Intensive Production in Pig Farms in Mexico through Life Cycle Assessment,https://doi.org/10.3390/su132011248,Giraldi-Diaz et al,2021,Pig,Pig,Mexico,N,,,,Only food based raw materials were accounted for,,
32,Accepted,Life cycle assessment of pigmeat production: Portuguese case study and proposal of improvement options,https://doi.org/10.1016/j.jclepro.2015.03.048,Gonzalez-Garcîa,2015,Pig,Pig,Portugal,N,,,,Premix was detailed in feeds but excluded from model boundaries due to insufficient inventory data,,
32,Accepted,Life Cycle Assessment of broiler chicken production: a Portuguese case study,https://doi.org/10.1016/j.jclepro.2014.03.067,Gonzalez-Garcîa,2014,Chicken,Chicken,Portugal,Y,Non-trace,N,,Monocalcium phosphate was modelled through LCA food DK database,,
33,Accepted,Sustainability Analysis of Fish Feed Derived from Aquatic Plant and Insect,https://doi.org/10.3390/su13137371,Goyal et al,2021,Fish Feed,Fish/Crustaceans,Germany,Y,Trace minerals,Y,Sodium chloride,"Analysis compares a BSF and duckweed generated feed to Trout and Tilapia feed data in Ecoinvent. Sodium chloride used as proxy for mineral premix, lime used as proxy for calcium carbonate,  100% ""crude protein"" used for amino acid supplements).",,
34,Accepted,Eggs or meat? Environmental impact and efficiency assessment of chicken protein production with potential of Hermetia illucens use in feed,https://doi.org/10.1016/j.rcradv.2022.200121,Heines et al,2022,Chicken,Chicken,Germany,Y,Non-trace,N,,Monocalcium phosphate was modelled through LCA food DK database - uses the data from Gonzalez-Garcia et al 2014,,
35,Accepted,Indonesian aquaculture futures-identifying interventions for reducing environmental impacts,http://doi.org/10.1088/1748-9326/ab4b79,Henriksson et al,2019,Tilapia (multispecies),Fish/Crustaceans,Indonesia,N,,,,Not listed in inventory which is in online supplementary data,,
36,Accepted,Benchmarking the environmental performance of best management practice and genetic improvements in Egyptian aquaculture using life cycle assessment,https://doi.org/10.1016/j.aquaculture.2016.09.051,Henriksson et al,2017,Tilapia,Fish/Crustaceans,Egypt,N,,,,Table 1 did not include any mineral supplements,,
37,Accepted,β-Mannanase Supplementation as an Eco-Friendly Feed Strategy to Reduce the Environmental Impacts of Pig and Poultry Feeding Programs,https://doi.org/10.3389/fvets.2021.732253,Hickmann et al,2021,Pig,Pig,Brazil,Y,Probably non-trace,Y,Limestone (calcium carbonate),Assumes vitamin-mineral premix impacts are the same as limestone.,,
38,Accepted,Simplified life cycle assessment of galician milk production,https://doi.org/10.1016/S0958-6946(03)00100-6,Hospido et al,2003,Cattle (Milk),Cattle,Spain,Y,Non-trace,N,,Calcium carbonate and phosphate carbonate listed in the fodder factory inventory,,
39,Accepted,Environmental impact of beef production in Mexico through life cycle assessment,https://doi.org/10.1016/j.resconrec.2016.01.020,Huerta et al,2016,Cattle,Cattle,Mexico,N,,,,Ammonium sulphate is listed in inventory for cow-calf stage - as a lick? Email reply: we specifically did not include mineral premix in our LCA because back them the database did not allow us to include data from mineral mixes,,Emailed author to clarify 14-05-24
40,Accepted,"Feeding high concentrations of corn dried distillers’ grains decreases methane, but increases nitrous oxide emissions from beef cattle production",https://doi.org/10.1016/j.agsy.2014.01.005,Hünerberg et al,2014,Cattle,Cattle,Canada,N,,,,"Premix was noted in feed but ""emissions from the production and shipping of mineral and vitamin supplement were considered negligible as it constituted only 2% of the diet"" - not accounting for disproportional impact",,
41,Accepted,Environmental impact assessment of chicken meat production using life cycle assessment,https://doi.org/10.1016/j.inpa.2016.10.002,Kalhor et al,2016,Chicken,Chicken,Iran,Y,Non-trace,Y,Limestone (calcium carbonate),"Noted as input in inventory, unsure how this was modelled - they used Ecoinvent, Simapro",,
42,Accepted,Environmental impact of using specialty feed ingredients in swine and poultry production: A life cycle assessment,https://doi.org/10.2527/jas.2015-9036,Kebreab et al,2016,Pig,Pig,Europe/North America/South America,Y,Non-trace,Y,Limestone is assumed to be a proxy for mineral premix listed in feed composition data,"Calcium carbonate, monocalcium phosphate, sodium chloride, and limestone are modelled. Limestone is not listed in feed, so assuming this used as proxy for mineral premix listed in feed composition data",,
42,Accepted,Environmental impact of using specialty feed ingredients in swine and poultry production: A life cycle assessment,https://doi.org/10.2527/jas.2015-9036,Kebreab et al,2016,Chicken,Chicken,Europe/North America/South America,Y,Non-trace,Y,Limestone is assumed to be a proxy for mineral premix listed in feed composition data,"Calcium carbonate, monocalcium phosphate, sodium chloride, and limestone are modelled. Limestone is not listed in feed, so assuming this used as proxy for mineral premix listed in feed composition data",,
43,Accepted,Environmental performance of semi-confinement and pasture-based systems for dairy cows,http://www.eemj.icpm.tuiasi.ro/pdfs/vol19/no7/Full/12_422_Laca_19.pdf,Laca et al,2020,Cattle,Cattle,Spain,Y,Probably trace,Y,Limestone (calcium carbonate),Uses SimaPro with Ecoinvent which says the concentrates have limestone in the inventory - frequently used as a proxy for minerals,,
44,Accepted,Overview on GHG emissions of raw milk production and a comparison of milk and cheese carbon footprints of two different systems from northern Spain,https://doi.org/10.1007/s11356-019-06857-6,Laca et al,2020,Cattle,Cattle,Spain,Y,Probably trace,Y,Limestone (calcium carbonate),Uses SimaPro with Ecoinvent which says the concentrates have limestone in the inventory - frequently used as a proxy for minerals,,
45,Accepted,Life Cycle Assessment (LCA) of a food-production system in Spain: Iberian ham based on an extensive system,https://doi.org/10.1016/j.scitotenv.2021.151900,Lamnatou et al,2022,Pig,pig,Spain,N,,,,No mineral supplements in the inventory,,
46,Accepted,Environmental assessment of a pork-production system in North-East of Spain focusing on life-cycle swine nutrition,https://doi.org/10.1016/j.jclepro.2016.07.051,Lamnatou et al,2016,Pig,Pig,Spain,Y,Non-trace,N,Calcium carbonate,"Uses calcium carbonate for the mineral component. Beth: I think this might be actually what they fed the pigs, so I have changed to Y, N. ",,
47,Accepted,"Life Cycle Assessment of fish fed with insect meal: Case study of mealworm inclusion in trout feed, in France",https://doi.org/10.1016/j.aquaculture.2018.06.051,Le Feon et al,2019,Trout,Fish/Crustaceans,France,N,,,,Included in feed description but omitted from inventory,,
48,Accepted,"Environmental impact assessment of chicken meat production via an integrated methodology based on LCA, simulation and genetic algorithms",https://doi.org/10.1016/j.jclepro.2017.10.307,Lopez-Andres et al,2018,Chicken,Chicken,Mexico,N,,,,"Verbatim from paper - ""The chickens’ diet consists of water and protein.""",,
49,Accepted,"Life-Cycle Assessment of the Beef Cattle Production System for the Northern Great Plains, USA",https://doi.org/10.2134/jeq2013.03.0101,Lupo et al,2013,Cattle,Cattle,USA,Y,Non-trace,N,,"Salt (NaCl), calcium (as limestone, CaCO3), phosphorus (as dicalcium phosphate, CaHPO4), and CTC were included as minerals and supplements.",,
50,Accepted,From feed to fork – Life Cycle Assessment on an Italian rainbow trout (Oncorhynchus mykiss) supply chain,https://doi.org/10.1016/j.jclepro.2020.125155,Maiolo et al,2021,Trout,Fish/Crustaceans,Italy,N,,,,"Only fish, other animal, and plant ingredients considered",,
51,Accepted,Fishmeal partial substitution within aquafeed formulations: life cycle assessment of four alternative protein sources,https://doi.org/10.1007/s11367-020-01759-z,Maiolo et al,2020,Fish Feed,Fish/Crustaceans,Italy,Y,Non-trace,N,,"Sodium phosphate and Limestone only minerals stated in inventory (Agribalyse and Ecoinvent) <- Beth 19/06/24_ Supplementary information has: limestone, monocalcium phosphate, sodium chloride. Might be worth asking biomar whether these are likely to be proxies",,
52,Accepted,Life-cycle assessment of greenhouse gas emissions from dairy production in Eastern Canada: A case study,https://doi.org/10.3168/jds.2011-5229,Mc Geough et al,2012,Dairy Cattle,Cattle,Canada,N,,,,Assumed all ingredients were produced on farm - mineral supplement listed in ingredients but not included in emissions source,,
53,Accepted,Life Cycle Assessment of a Novel Closed-Containment Salmon Aquaculture Technology,10.1021/es5051138,McGrath et al,2015,Chinook salmon,Fish/Crustaceans,Canada,N,,,,"Table 2 in the supplementary information did not include any mineral supplements, but the system would generally use them",,
54,Accepted,Circular Bioeconomy Practices in the Greek Pig Sector: The Environmental Performance of Bakery Meal as Pig Feed Ingredient,https://doi.org/10.3390/su151511688,Melas et al,2023,Pig,Pig,Greece,Y,Non-trace,N,,marble dust is stated in feed - calcium carbonate is included the inventory. This seems to be what marble dust is.,,
55,Accepted,Method for calculating carbon footprint of cattle feeds - including contribution from soil carbon changes and use of cattle manure,https://doi.org/10.1016/j.jclepro.2014.02.023,Mogensen et al,2014,Cattle,Cattle,Denmark,N,,,,Focuses on fodder crops only,,
56,Accepted,Effect of feeding strategy on environmental impacts of pig fattening in different contexts of production: evaluation through life cycle assessment,https://doi.org/10.2527/jas.2016-0529,Monteiro et al,2016,Pig,Pig,Brazil/France,Y,Non-trace,Y,Limestone (calcium carbonate),"Data for phytase, salt, phosphate, sodium bicarbonate, and limestone used in the diet came from Wilfart et al. (2015). The premix was assumed to contain mainly limestone and to have the same impacts. The impacts of vitamins and trace elements were not considered..",,
57,Accepted,The effects on greenhouse gas emissions of ecological intensification of meat production with rainfed sown biodiverse pastures,https://doi.org/10.3390/su10114184,Morais et al,2018,Cattle,Cattle,Portugal,Y,Trace minerals,Y,"calcium carbonate, sodium bicarbonate and calcium phosphate","In the feed composition table (Table 1), but in the LCA process in the Supplementary Materials, only calcium carbonate, sodium bicarbonate and calcium phosphate were listed, and no vitamins, which suggests to me that the 'mineral and vitamin mix' used proxies",,
58,Accepted,Life Cycle Assessment for environmentally sustainable aquaculture management: a case study of combined aquaculture systems for carp and tilapia,https://doi.org/10.1016/j.jclepro.2013.05.029,Mungkung et al,2013,Carp/tilapia,Fish/Crustaceans,Indonesia,N,,,,"Despite ""additives"" noted in diet only plant-based and fish-based ingredients were considered",,
59,Accepted,Environmental and water sustainability of milk production in Northeast Spain,https://doi.org/10.1016/j.scitotenv.2017.10.186,Noya et al,2018,Dairy Cattle,Cattle,Spain,N,,,,Not all ingredient were listed for the diets (did not add to 100%) but the inventory only mentions the main crops and fodder (which was also crop-based).,,
60,Accepted,Life Cycle Assessment of pig production: A case study in Galicia,https://doi.org/10.1016/j.jclepro.2016.11.160,Noya et al,2017,Pig,Pig,Spain,Y,Probably non-trace,Y,Limestone (calcium carbonate),"Crop cultivation, agrochemical use, and energy consumption were considered for feed. Inorganic compounds are listed in diet but I believe not included - if they were, the authors used ecoinvent which uses a limestone proxy.",,
61,Accepted,A life cycle assessment of seasonal grass-based and confinement dairy farms,https://doi.org/10.1016/j.agsy.2011.11.004,O'Brien et al,2012,Dairy Cattle,Cattle,Ireland,N,,,,Is mineral premix expected in dairy cattle? Need to discuss this for many papers,,Emailed Teagasc to clarify 14-05-24
62,Accepted,Evaluating environmental impacts of the Japanese beef cow–calf system by the life cycle assessment method,https://doi.org/10.1111/j.1740-0929.2007.00457.x,Ogino et al,2007,Cattle,Cattle,Japan,N,,,,Not listed in diet at all,,
63,Accepted,Life cycle assessment of sustainable broiler production systems: Effects of low-protein diet and litter incineration,https://doi.org/10.3390/agriculture11100921,Ogino et al,2021,Chicken (broiler),Chicken,Japan,Y,Probably trace and non-trace,Y,crystalline amino acids,"Calcium carbonate, Tricalcium phosphate, and ""Vitamins and minerals"" are listed in the diet description but no detail list on inventory. Email reply: I thought the environmental loads of mineral and vitamin premix was large, so I used the data of the feed ingredient with the largest environmental loads in the diet, i.e., the crystalline amino acids (5.20 kg-CO2e/kg), as a proxy to avoid underestimation.",,Sent email to clarify 21-04-24
64,Accepted,Environmental impacts of the Japanese beef-fattening system with different feeding lengths as evaluated by a life-cycle assessment method,,Ogino et al,2004,Cattle,Cattle,Japan,N,,,,Calcium carbonate in the inventory but not in the calculations (see calculation and its explanation under Table 3),,
65,Accepted,Economic and environmental impacts of changes in culling parity of cows and diet composition in Japanese beef cow-calf production systems,10.1016/j.agsy.2012.09.007,Oishi et al,2013,Cattle,Cattle,Japan,N,,,,"Did the LCA for enviromental impacts (global warming, acidification, and eutrophication), then calculated to an overall enbiromnetal index to evaluate the balance between the environmental output and the economic output. LCA used the model from Ogino et al. (2007): 10.1111/j.1740-0929.2007.00457.x. Premix was not mentioned.",,
66,Accepted,Combining livestock and tree crops to improve sustainability in agriculture: a case study using the Life Cycle Assessment (LCA) approach,10.1016/j.jclepro.2016.05.024,Paolotti et al,2016,Chicken,Chicken,Italy,Y,Non-trace,N,,"Vitamin premix, Dicalcium phosphate, Sodium bicarbonate, Salt and Ash (not sure about that)? Used EcoInvent",,
67,Accepted,"Sustainability, energy budgeting, and life cycle assessment of crop-dairy-fish-poultry mixed farming system for coastal lowlands under humid tropic condition of India",10.1016/j.energy.2019.116101,Paramesh et al,2019,Dairy Cattle,Cattle,India,Y,Probably trace and non-trace,Y,Limestone (calcium carbonate),"Mix farming system. Feed composition was not mentioned. However, minerals and vitamins LCI was analysed for poultry system. Minerals and vitamins LCI was analysed for dairy cattle system.",,
68,Accepted,"Sustainability, energy budgeting, and life cycle assessment of crop-dairy-fish-poultry mixed farming system for coastal lowlands under humid tropic condition of India",10.1016/j.energy.2019.116101,Paramesh et al,2019,Chicken,Chicken,India,Y,Probably trace and non-trace,Y,Limestone (calcium carbonate),"Mix farming system. Feed composition was not mentioned. However, minerals and vitamins LCI was analysed for poultry system. Minerals and vitamins LCI was analysed for dairy cattle system.",,
69,Accepted,"Environmental performance in the US broiler poultry sector: Life cycle energy use and greenhouse gas, ozone depleting, acidifying and eutrophying emissions",10.1016/j.agsy.2008.03.007,Pelletier,2008,Chicken,Chicken,United States,N,,,,"Salt (is it premix)? <-BETH: No, not really :)",,
70,Accepted,"Life cycle assessment of Canadian egg products, with differentiation by hen housing system type",10.1016/j.jclepro.2017.03.050,Pelletier,2017,Chicken,Chicken,Canada,Y,Probably non-trace,Y,Salt (sodium chloride),"Table S13: Vitamins, Minerals, Salt. "" All mineral inputs were modeled as salt""",,
71,Accepted,Life cycle assessment of high- and low-profitability commodity and deep-bedded niche swine production systems in the Upper Midwestern United States,https://doi.org/10.1016/j.agsy.2010.07.001,Pelletier et al,2010,Pig,Pig,United States,N,Non-trace,,,"Dicalcium Phosphate, Ground limestone, Sodium chloride, other (not sure about other ingredient). NOTES FROM AUTHOR: Certainly, we would not have had fully resolved data re. the composition of mineral premixes, nor access to adequate third party life cycle inventory models to represent them. The situation has certainly improved in the interim, but challenges do remain both with respect to access to information regarding proprietary premix compositions as well as inventory models to represent some of the constituents.",,
72,Accepted,Life cycle assessment of fish culture in Thailand: Case study of Nile Tilapia and Striped Catfish,10.7763/IJESD.2013.V4.423,Pongpat and Tongpool,2013,Tilapia,Fish/Crustaceans,Thailand,N,,,,,,
73,Accepted,Environmental impacts of French and Brazilian broiler chicken production scenarios: An LCA approach,https://doi.org/10.1016/j.jenvman.2013.12.011,Prudêncio da Silva et al,2014,Chicken,Chicken,French and Brazil,Y,Trace minerals,Y,Maize starch,"Premix was also involved in environmental impacts analysing in supplementary tables. Table S1 & S3: NOTES FROM AUTHOR: We utilized a pre-existing process from the Simapro Software database, albeit with a modification: we substituted the primary component (maize starch) with a comparable same product sourced from France, while also adding in transportation impacts. Further elaboration on the process can be found in the attached file. Undoubtedly, this warrants consideration for a more comprehensive replacement.",,
74,Accepted,A retrospective analysis of the United States poultry industry: 1965 compared with 2010,10.1016/j.agsy.2017.07.008,Putman et al,2017,Chicken,Chicken,United States,Y,Probably non-trace,Y,Limestone (calcium carbonate),"""Includes salt, limestone, vitamins, minerals, and synthetic amino acids (in 2010 rations only).""",,
75,Accepted,Life Cycle Assessment of pork production: A data inventory for the case of Germany,http://doi.org/10.1016/j.livsci.2013.09.001,Reckmann et al,2013,Pig,Pig,Germany,Y,Non-trace,N,,"feed mixtures included feed supplements, such as calcium carbonate and lysine. Table 3: Others 648 kg. Presumably they did not use a proxy",,
76,Accepted,Life Cycle Assessment for the Cuban pig production: Case study in Sancti Spiritus,10.1016/j.jclepro.2019.02.047,Reyes et al,2019,Pig,Pig,Cuba,N,,,,Only include soy bean and maize in the feed inventory,,
77,Accepted,Comparing Carbon and Water Footprints for Beef Cattle Production in Southern Australia,10.3390/su3122443,Ridoutt et al,2011,Cattle,Cattle,Australia,N,,,,"Only carbon footprint and water footprint. ""Supplementary feeds (grain and pasture hay)"" probably not the premix",,
